;doubling every day;doubling every 2 days;doubling every 4 days;doubling every 10 days;India;United Kingdom;US;Germany;Italy;Canada;Spain;date
0;100.0;100.0;100.0;100.0;102.0;134.0;104.0;130.0;155.0;108.0;120.0;0
1;200.0;141.4213562373095;118.9207115002721;107.17734625362931;113.0;189.0;174.0;159.0;229.0;117.0;165.0;1
2;400.0;200.0;141.4213562373095;114.86983549970351;119.0;246.0;222.0;196.0;322.0;193.0;222.0;2
3;800.0;282.842712474619;168.1792830507429;123.11444133449163;142.0;295.0;337.0;262.0;453.0;198.0;259.0;3
4;1600.0;400.0;200.0;131.9507910772894;156.0;374.0;451.0;482.0;655.0;252.0;400.0;4
5;3200.0;565.685424949238;237.8414230005442;141.4213562373095;194.0;429.0;519.0;670.0;888.0;415.0;500.0;5
6;6400.0;800.0;282.842712474619;151.5716566510398;244.0;483.0;711.0;799.0;1128.0;478.0;673.0;6
7;12800.0;1131.370849898476;336.3585661014858;162.4504792712471;330.0;630.0;1109.0;1040.0;1694.0;657.0;1073.0;7
8;25600.0;1600.0;400.0;174.11011265922482;396.0;889.0;1561.0;1176.0;2036.0;800.0;1695.0;8
9;51200.0;2262.741699796952;475.6828460010884;186.60659830736148;499.0;1301.0;2157.0;1457.0;2502.0;943.0;2277.0;9
10;102400.0;3200.0;565.685424949238;200.0;536.0;1790.0;2870.0;1908.0;3089.0;1277.0;2277.0;10
11;204800.0;4525.483399593904;672.7171322029716;214.35469250725862;657.0;2270.0;2968.0;2078.0;3858.0;1469.0;5232.0;11
12;409600.0;6400.0;800.0;229.73967099940697;727.0;2634.0;4360.0;3675.0;4636.0;2088.0;6391.0;12
13;819200.0;9050.966799187809;951.3656920021768;246.22888266898326;887.0;3077.0;6141.0;4585.0;5883.0;2790.0;7798.0;13
14;1638400.0;12800.0;1131.370849898476;263.9015821545788;987.0;3692.0;8917.0;5795.0;7375.0;3251.0;9942.0;14
15;3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;1024.0;4462.0;14157.0;7272.0;9172.0;4042.0;11748.0;15
16;6553600.0;25600.0;1600.0;303.14331330207966;1251.0;5467.0;19479.0;9257.0;10149.0;4682.0;13910.0;16
17;13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;1397.0;6533.0;25825.0;12327.0;12462.0;5576.0;17963.0;17
18;26214400.0;51200.0;2262.741699796952;348.22022531844965;1998.0;7791.0;33761.0;15320.0;15113.0;6280.0;20410.0;18
19;52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;2543.0;9006.0;43850.0;19848.0;17660.0;7398.0;25374.0;19
20;104857600.0;102400.0;3200.0;400.0;2567.0;10395.0;54112.0;22213.0;21157.0;8527.0;28768.0;20
21;209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;3082.0;12744.0;66055.0;24873.0;24747.0;9560.0;35136.0;21
22;419430400.0;204800.0;4525.483399593904;459.47934199881405;3588.0;15126.0;84091.0;29056.0;27980.0;11284.0;39885.0;22
23;838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;4778.0;17843.0;102276.0;32986.0;31506.0;12437.0;49515.0;23
24;1677721600.0;409600.0;6400.0;527.8031643091576;5311.0;20970.0;122069.0;37323.0;35713.0;12978.0;57786.0;24
25;3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;5916.0;24219.0;141205.0;43938.0;41035.0;15756.0;65719.0;25
26;6710886400.0;819200.0;9050.966799187809;606.2866266041593;6725.0;27062.0;162707.0;50871.0;47021.0;16563.0;73235.0;26
27;13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;7598.0;29954.0;188724.0;57695.0;53578.0;17872.0;80110.0;27
28;26843545600.0;1638400.0;12800.0;696.4404506368992;8446.0;34281.0;214205.0;62095.0;59138.0;19141.0;87956.0;28
29;53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;9205.0;38815.0;244610.0;66885.0;63927.0;20654.0;95923.0;29
30;107374182400.0;3276800.0;18101.933598375617;800.0;10453.0;43789.0;276547.0;71808.0;69176.0;22059.0;104118.0;30
31;214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;11487.0;48718.0;309699.0;77872.0;74386.0;23316.0;112065.0;31
32;429496729600.0;6553600.0;25600.0;918.9586839976281;12322.0;53699.0;337573.0;84794.0;80589.0;24299.0;119199.0;32
33;858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;13430.0;57772.0;367215.0;91159.0;86498.0;25680.0;126168.0;33
34;1717986918400.0;13107200.0;36203.867196751235;1055.6063286183153;14352.0;61422.0;397992.0;96092.0;92472.0;27035.0;131646.0;34
35;3435973836800.0;18536380.004736632;43053.89646099018;1131.370849898476;15722.0;66738.0;429686.0;100123.0;97689.0;28209.0;136675.0;35
36;6871947673600.0;26214400.0;51200.0;1212.5732532083186;17615.0;72224.0;464442.0;103374.0;101739.0;30809.0;141942.0;36
37;13743895347200.0;37072760.009473264;60887.40428813932;1299.6038341699768;18539.0;77387.0;497943.0;107663.0;105792.0;32814.0;148220.0;37
38;27487790694400.0;52428800.0;72407.73439350247;1392.8809012737984;20080.0;82293.0;527969.0;113296.0;110574.0;34356.0;153222.0;38
39;54975581388800.0;74145520.01894653;86107.79292198036;1492.8527864588918;21370.0;86660.0;556522.0;118181.0;115242.0;35633.0;158273.0;39
40;109951162777600.0;104857600.0;102400.0;1600.0;23077.0;90273.0;581813.0;122171.0;119827.0;37658.0;163027.0;40
41;219902325555200.0;148291040.03789306;121774.80857627864;1714.8375400580687;24530.0;93812.0;608878.0;124908.0;124632.0;39402.0;166831.0;41
42;439804651110400.0;209715200.0;144815.46878700494;1837.9173679952562;26283.0;98017.0;637974.0;127854.0;128948.0;41663.0;170099.0;42
43;879609302220800.0;296582080.0757861;172215.58584396073;1969.8310613518656;27890.0;102365.0;669272.0;130072.0;132547.0;43299.0;172541.0;43
44;1759218604441600.0;419430400.0;204800.0;2111.2126572366315;29451.0;107465.0;701996.0;131359.0;135586.0;44919.0;177644.0;44
45;3518437208883200.0;593164160.1515722;243549.61715255727;2262.741699796952;31324.0;112808.0;730337.0;134753.0;139422.0;46371.0;184948.0;45
46;7036874417766400.0;838860800.0;289630.9375740099;2425.1465064166364;33062.0;117798.0;756375.0;137698.0;143626.0;48033.0;190839.0;46
47;1.40737488355328e+16;1186328320.3031445;344431.17168792145;2599.2076683399537;34863.0;122534.0;783716.0;141397.0;147577.0;49616.0;191726.0;47
48;2.81474976710656e+16;1677721600.0;409600.0;2785.7618025475967;37257.0;126394.0;809318.0;143342.0;152271.0;51150.0;198674.0;48
49;5.62949953421312e+16;2372656640.606289;487099.23430511454;2985.7055729177846;39699.0;131260.0;837422.0;145184.0;156363.0;52865.0;200210.0;49
50;1.125899906842624e+17;3355443200.0;579261.8751480198;3200.0;42505.0;136035.0;871617.0;147065.0;159516.0;54457.0;204178.0;50
51;2.251799813685248e+17;4745313281.212578;688862.3433758429;3429.6750801161375;46437.0;141540.0;907908.0;148291.0;162488.0;56343.0;208389.0;51
52;4.503599627370496e+17;6710886400.0;819200.0;3675.8347359905124;49400.0;146708.0;940829.0;150648.0;165155.0;57926.0;213024.0;52
